winner_name,dropped_name,W_mm,D_mm,H_mm,family,product_line,source,completeness
Planta Expo Kubic JB,Planta Expo Kubic JB,348,605,0,Modulos,Kubic,cad3.dwg,DEF
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 10º,1015,390,3000,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 12º,1019,520,0,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 14º,1017,390,0,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 20º,1024,390,3000,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 24º,1029,389,3000,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 30º,1036,389,3000,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 2º,1009,389,0,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 4º,1011,389,0,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 6º,1012,390,0,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,H 3000 990 SDT SZ 8º,1016,390,3000,Modulos,Visio,cad1.dwg,INS
Planta sólo poste 30x30 990 prestatge de vidre,Alzado sólo poste 990 6 prestatges vidre,1013,3325,0,Modulos,Visio,cad6.dwg,DEF
Planta sólo poste 30x30 800 prestatge de vidre,Alzado sólo poste 800 6 prestatges vidre,823,3325,0,Modulos,Visio,cad6.dwg,DEF
PM202305021054,PM202305021055,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202306021213,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202306021216,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202307271232,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202308110855,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202308110856,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202308110857,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202305021054,PM202308110858,996,3267,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306021139,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306021210,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306091109,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306091110 1,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306091256,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202306091257 1,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
Visio Progresivo Ancho 990 Alto 3000mm con 6 est vidrio planta,PM202308091326,1026,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
MO 3000 planta Marc L Poste 60 Dinàmica JB 2020,PM202306021145,1072,79,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202306061616,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308040854,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308091148,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308091225,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308091259,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308110931,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021152,PM202308110932,1072,3000,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
MO 3000 planta Marc U Poste 60 Dinàmica JB,PM202306021224,1072,98,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021231,PM202306021237,1026,770,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021231,PM202308070911,1026,770,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021242,PM202306021255,996,2442,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021242,PM202306021301,996,2442,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021242,PM202306021303,996,2442,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021242,PM202307271246,996,2442,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021256,PM202306071024,1072,2205,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021256,PM202308081633,1072,2205,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306021332,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306061555,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091125,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091126,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091144,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091145,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091258,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202306091259,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307261042,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307261043,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307261106,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307271320,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307271558,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307271559,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202307281041,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308041113,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308070832,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308070847,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081507,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081509,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081534,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081553,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081607,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308081625,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308091111,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308091115,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308091211,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308091312,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308111223,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308111224,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308160832,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308160833,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308160834,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308160835,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308160845,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161009,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161010,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161603,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161604,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161605,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202308161623,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202309281715,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021608,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021609,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021610,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021611,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021612,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310021622,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041505,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041506,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041507,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041508,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041509,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041510,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041511,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310041703,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310051038,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310051135,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310051330,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202310051337,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021327,PM202312011108,1200,3400,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021343,PM202306021351,996,2437,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021343,PM202306061541,996,2437,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021343,PM202306061542,996,2437,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021343,PM202307271253,996,2437,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306021349,PM202308081645,1072,2200,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306061353,PM202306061544,99,28,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306061621,PM202308081459,1072,498,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306071209,PM202306081322,1072,3282,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306071209,PM202306081323,1072,3282,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306071209,PM202307281042,1072,3282,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306071209,PM202308091158,1072,3282,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306081325,PM202306081514,1072,751,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306081326,PM202306081515,1072,770,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306081326,PM202308091206,1072,770,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306091226,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306091240,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306091241,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306201501,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306201502,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202306201503,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140923,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140924,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140925,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140926,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140927,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140928,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140929,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
PM202306091225,PM202308140930,1060,2502,0,Sin_clasificar,Generico,Todo_Mob.dwg,STD
